# date	slug	source	tvl	bucket	action
2026-04-22	defiplaza	DefiLlama	197746	Security Risk	seen
2026-04-22	enibridge	DefiLlama	197032	Security Risk	seen
2026-04-22	fuji-v1	DefiLlama	195642	Security Risk	seen
2026-04-22	bunnyswap	DefiLlama	193939	Security Risk	seen
2026-04-22	rysk-v1	DefiLlama	193831	Security Risk	seen
2026-04-22	alterscope	DefiLlama	193445	Security Risk	seen
2026-04-22	unsheth	DefiLlama	191283	Security Risk	seen
2026-04-22	jaypeggers	DefiLlama	188997	Security Risk	seen
2026-04-22	single-finance	DefiLlama	188277	Security Risk	seen
2026-04-22	mycelium-perpetual-pools	DefiLlama	185806	Security Risk	seen
2026-04-22	morpho-optimizer-aavev2	DefiLlama	185636	Security Risk	seen
2026-04-22	joe-v2	DefiLlama	182915	Security Risk	seen
2026-04-22	frigg.eco	DefiLlama	182532	Security Risk	seen
2026-04-22	float-protocol	DefiLlama	177950	Security Risk	seen
2026-04-22	spectra-v1	DefiLlama	177885	Security Risk	seen
2026-04-22	stryke-clamm	DefiLlama	176593	Security Risk	seen
2026-04-22	rubicon	DefiLlama	174444	Security Risk	seen
2026-04-22	bridge-mutual	DefiLlama	174073	Security Risk	seen
2026-04-22	granary-finance	DefiLlama	172899	Security Risk	seen
2026-04-22	hats.v2	DefiLlama	172140	Security Risk	seen
2026-04-22	spartadex	DefiLlama	171865	Security Risk	seen
2026-04-22	ramses-legacy	DefiLlama	171383	Security Risk	seen
2026-04-22	leetswap	DefiLlama	170908	Security Risk	seen
2026-04-22	rocket-vault	DefiLlama	163640	Security Risk	seen
2026-04-22	ideamarket	DefiLlama	163125	Security Risk	seen
2026-04-22	travessia-credit	DefiLlama	162504	Security Risk	seen
2026-04-22	savvy	DefiLlama	162309	Security Risk	seen
2026-04-22	component	DefiLlama	161596	Security Risk	seen
2026-04-22	jiko	DefiLlama	159339	Security Risk	seen
2026-04-22	sonne-finance	DefiLlama	159203	Security Risk	seen
2026-04-22	adamant-finance	DefiLlama	158078	Security Risk	seen
2026-04-22	gammaswap-yield-tokens	DefiLlama	156030	Security Risk	seen
2026-04-22	doubler	DefiLlama	155284	Security Risk	seen
2026-04-22	zkswap	DefiLlama	154699	Security Risk	seen
2026-04-22	skate-fi	DefiLlama	153098	Security Risk	seen
2026-04-22	ixs	DefiLlama	152148	Security Risk	seen
2026-04-22	bondlink-finance	DefiLlama	151992	Security Risk	seen
2026-04-22	untangled-vault	DefiLlama	151306	Security Risk	seen
2026-04-22	cream-lending	DefiLlama	151187	Security Risk	seen
2026-04-22	bmx-freestyle	DefiLlama	150844	Security Risk	seen
2026-04-22	g8keep	DefiLlama	150755	Security Risk	seen
2026-04-22	xave-finance	DefiLlama	149749	Security Risk	seen
2026-04-22	yldr	DefiLlama	149479	Security Risk	seen
2026-04-22	nested	DefiLlama	149341	Security Risk	seen
2026-04-22	opium	DefiLlama	149243	Security Risk	seen
2026-04-22	suterusu	DefiLlama	148396	Security Risk	seen
2026-04-22	openocean	DefiLlama	145080	Security Risk	seen
2026-04-22	stabull-finance	DefiLlama	144032	Security Risk	seen
2026-04-22	infinitypools	DefiLlama	142406	Security Risk	seen
2026-04-22	sushi-kashi	DefiLlama	142339	Security Risk	seen
2026-04-22	varlamore-capital	DefiLlama	142304	Security Risk	seen
2026-04-22	sharkswap-dex	DefiLlama	141375	Security Risk	seen
